"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"Joe Ingles","UTA",82,2579,159,104,55,0.6540880503144654,16,7,88,23,8,0,7,0
"Jamal Murray","DEN",81,2565,172,108,64,0.627906976744186,41,13,67,22,11,1,6,1
"Victor Oladipo","IND",75,2552,220,132,88,0.6,64,13,68,32,12,0,4,0
"James Harden","HOU",72,2551,314,214,100,0.6815286624203821,65,25,149,39,3,0,0,0
"Robert Covington","PHI",80,2531,126,64,62,0.5079365079365079,19,8,45,24,10,1,4,0
"Kyle Lowry","TOR",78,2510,183,126,57,0.6885245901639344,26,9,100,27,4,0,4,0
"LaMarcus Aldridge","SAS",75,2509,111,50,61,0.45045045045045046,27,10,23,11,10,8,0,0
"Klay Thompson","GSW",73,2504,128,77,51,0.6015625,24,9,53,16,9,1,3,0
"Carmelo Anthony","OKC",78,2501,98,41,57,0.41836734693877553,18,3,23,9,18,0,0,0
"Steven Adams","OKC",76,2487,128,50,78,0.390625,31,6,19,7,7,9,4,1
"Bojan Bogdanovic","IND",80,2464,106,60,46,0.5660377358490566,25,12,35,6,12,0,8,0
