"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"DaQuan Jeffries","CHA",47,1071,53,129,30,23,18,12,0,6,17
"Jusuf Nurkić","CHA",51,1063,115,286,59,56,38,15,6,11,45
"Seth Curry","CHA",68,1062,60,149,31,29,17,12,2,13,16
"Cody Williams","UTA",50,1060,59,149,28,31,13,11,4,14,17
"Isaac Okoro","CLE",55,1053,68,165,39,29,31,6,2,10,19
"Oso Ighodaro","PHX",61,1045,71,166,47,24,23,13,11,13,11
"Jared Butler","PHI",60,1044,220,510,150,70,103,37,10,26,44
"Noah Clowney","BKN",46,1042,40,103,17,23,8,7,2,3,20
"Jamison Battle","TOR",59,1042,53,133,26,27,14,12,0,9,18
"Alex Caruso","OKC",54,1041,137,336,75,62,46,25,4,16,46
"Kris Murray","POR",69,1040,68,167,37,31,26,10,1,6,25
"Dejounte Murray","NOP",31,1012,228,543,141,87,87,38,16,34,53
"Jalen Suggs","ORL",35,1002,129,296,91,38,69,16,6,16,22
"Kyle Anderson","MIA",61,1002,145,359,76,69,52,20,4,23,46
"Brandon Boston","NOP",42,993,92,230,46,46,34,9,3,8,38
"Dalen Terry","CHI",73,987,97,235,56,41,35,19,2,12,29
"Andre Jackson Jr.","MIL",67,980,83,211,38,45,24,8,6,13,32
"Zach Collins","CHI",64,976,111,259,74,37,46,17,11,6,31
"Trayce Jackson-Davis","GSW",62,967,104,269,43,61,22,14,7,16,45
"Thomas Bryant","IND",66,963,53,118,41,12,22,16,3,2,10
"Jordan Clarkson","UTA",37,962,138,333,81,57,46,33,2,27,30
"Jalen Smith","CHI",64,962,65,157,38,27,22,12,4,7,20
"Gary Payton II","GSW",62,927,83,206,43,40,26,13,4,9,31
"Brandon Miller","CHA",27,924,98,237,57,41,45,7,5,13,28
"Bruce Brown","NOP",41,921,84,202,50,34,32,16,2,12,22
"Immanuel Quickley","TOR",33,918,191,449,124,67,69,45,10,27,40
"Trendon Watford","BKN",43,913,115,297,48,67,33,12,3,20,47
"KJ Martin","UTA",43,912,48,121,23,25,13,6,4,8,17
"Day'Ron Sharpe","BKN",50,909,91,215,58,33,36,19,3,9,24
"Jaden Hardy","DAL",57,907,81,188,55,26,39,14,2,13,13
"Tre Jones","CHI",46,905,192,485,91,101,58,26,7,32,69
"Adem Bona","PHI",58,902,27,64,17,10,8,6,3,5,5
"Jaden Ivey","DET",30,898,119,294,63,56,44,11,8,22,34
"Kelly Olynyk","NOP",44,891,128,294,90,38,67,20,3,9,29
"Chet Holmgren","OKC",32,877,63,141,48,15,29,15,4,6,9
"Alec Burks","MIA",49,863,55,125,40,15,25,11,4,7,8
"Neemias Queta","BOS",62,863,45,120,15,30,9,5,1,7,23
"Chris Boucher","TOR",50,862,34,81,21,13,15,6,0,2,11
"Zion Williamson","NOP",30,857,159,406,71,88,37,22,12,20,68
"Khris Middleton","WAS",37,843,150,359,91,59,72,13,6,18,41
"KJ Simpson","CHA",36,842,112,273,63,49,38,20,5,11,38
"Shake Milton","LAL",57,836,102,253,53,49,34,13,6,17,32
"Dereck Lively II","DAL",36,833,85,214,41,44,25,11,5,3,41
"Garrison Mathews","ATL",47,830,60,138,42,18,24,18,0,6,12
"Cam Whitmore","HOU",51,827,49,124,23,26,10,8,5,8,18
"Ryan Rollins","MIL",56,820,104,245,67,37,32,22,13,12,25
"Marcus Sasser","DET",57,811,133,327,72,61,36,31,5,15,46
"Steven Adams","HOU",57,795,66,154,44,22,25,12,7,5,17
"Aaron Holiday","HOU",62,792,83,203,46,37,25,17,4,6,31
"Karlo Matković","NOP",42,791,46,111,27,19,11,14,2,4,15
"Caleb Houstan","ORL",58,788,35,90,15,20,8,4,3,15,5
"Vasilije Micić","PHX",41,785,128,295,89,39,57,25,7,15,24
"Jaylin Williams","OKC",47,784,120,294,66,54,43,11,12,14,40
"Pelle Larsson","MIA",55,782,65,164,31,34,18,12,1,16,18
"Cam Thomas","BKN",25,781,95,227,58,37,45,12,1,16,21
"Lindy Waters III","DET",52,777,52,129,27,25,19,5,3,11,14
"Lonzo Ball","CHI",35,777,115,281,64,51,39,21,4,22,29
"Orlando Robinson","TOR",44,770,77,190,41,36,25,15,1,8,28
"Eric Gordon","PHI",39,768,65,158,37,28,28,7,2,11,17
"Gui Santos","GSW",56,762,80,198,42,38,20,18,4,13,25
"Landry Shamet","NYK",50,762,27,63,18,9,9,7,2,2,7
"Svi Mykhailiuk","UTA",38,760,76,183,45,31,23,19,3,13,18
"Andre Drummond","PHI",40,751,34,80,22,12,13,6,3,5,7
"Jabari Walker","POR",60,749,38,90,24,14,18,5,1,1,13
"Jay Huff","MEM",64,748,38,94,20,18,13,4,3,4,14
"Drew Eubanks","LAC",61,746,54,135,27,27,10,10,7,5,22
"Talen Horton-Tucker","CHI",58,724,83,206,43,40,26,15,2,15,25
"Gary Harris","ORL",48,711,30,76,14,16,11,3,0,1,15
"Micah Potter","UTA",38,705,31,78,15,16,6,7,2,3,13
"Jett Howard","ORL",60,701,44,107,25,19,17,8,0,7,12
"DeAndre Jordan","DEN",56,691,53,118,41,12,17,22,2,1,11
"Quinten Post","GSW",42,686,56,143,25,31,11,10,4,6,25
"Blake Wesley","SAS",58,683,114,281,61,53,50,10,1,15,38
"Sandro Mamukelashvili","SAS",61,681,48,119,25,23,16,8,1,2,21
"Marcus Smart","WAS",34,680,109,262,65,44,42,20,3,19,25
"Jalen Pickett","DEN",49,666,107,252,69,38,38,25,6,10,28
"Tosan Evbuomwan","BKN",28,665,55,137,28,27,20,7,1,4,23
"Antonio Reeves","NOP",44,660,39,96,21,18,13,5,3,10,8
"Kyle Lowry","PHI",35,659,96,232,56,40,45,7,4,14,26
"Reed Sheppard","HOU",52,653,75,184,41,34,29,10,2,15,19
"Herbert Jones","NOP",20,648,65,156,39,26,23,13,3,7,19
"AJ Johnson","WAS",29,638,76,190,38,38,24,11,3,10,28
"Maxi Kleber","DAL",34,637,43,109,20,23,14,4,2,6,17
"Delon Wright","NYK",40,634,77,195,36,41,13,12,11,16,25
"Jericho Sims","MIL",53,631,33,84,15,18,2,9,4,5,13
"Josh Okogie","CHA",40,625,33,82,17,16,12,4,1,9,7
"Daniel Theis","NOP",38,621,60,143,37,23,20,7,10,2,21
"Jeff Dowtin Jr.","PHI",41,621,78,196,38,40,24,11,3,8,32
"Cory Joseph","ORL",50,612,72,183,33,39,18,10,5,12,27
"Kessler Edwards","DAL",40,608,42,107,19,23,8,9,2,7,16
"Zeke Nnaji","DEN",57,608,23,56,13,10,5,4,4,0,10
"Pat Connaughton","MIL",41,603,70,171,39,31,27,8,4,11,20
"Ajay Mitchell","OKC",36,597,64,159,33,31,18,12,3,8,23
"Brandon Ingram","NOP",18,595,93,224,55,38,37,11,7,13,25
"Jared McCain","PHI",23,592,60,140,40,20,26,12,2,5,15
"Cam Reddish","LAL",33,589,23,57,12,11,11,1,0,4,7
"Jae'Sean Tate","HOU",52,588,47,119,22,25,16,4,2,6,19
"Olivier-Maxence Prosper","DAL",52,584,40,100,20,20,9,6,5,9,11
"Jarred Vanderbilt","LAL",36,581,41,100,23,18,16,4,3,8,10
"Joel Embiid","PHI",19,574,85,207,48,37,37,8,3,7,30
"Monté Morris","PHX",45,571,73,169,50,23,21,15,14,8,15
"Moritz Wagner","ORL",30,564,42,100,26,16,21,2,3,6,10
"Malcolm Brogdon","WAS",24,564,98,239,55,43,33,17,5,12,31
"John Konchar","MEM",46,558,42,101,25,17,12,10,3,5,12
"Dillon Jones","OKC",54,552,58,151,23,35,12,10,1,6,29
"Dwight Powell","DAL",55,551,55,126,39,16,20,13,6,2,14
"Jordan Goodwin","LAL",29,543,42,103,23,19,14,9,0,4,15
"Richaun Holmes","WAS",31,534,42,105,21,21,9,10,2,2,19
"Mouhamed Gueye","ATL",33,533,27,65,16,11,10,6,0,4,7
"Bismack Biyombo","SAS",28,528,31,77,16,15,2,8,6,4,11
"Jaylen Clark","MIN",40,522,26,61,17,9,17,0,0,1,8
"Rob Dillingham","MIN",49,516,98,235,59,39,40,14,5,8,31
